العيار,سعر البيع,سعر الشراء,الحالة,السعر
عيار 24 ,5800  ج.م,5771.5  ج.م,هبوط,"
                    -11.5
                "
عيار 22 ,5316.75  ج.م,5290.5  ج.م,هبوط,"
                    -10.5
                "
عيار 21 ,5075  ج.م,5050  ج.م,هبوط,"
                    -10
                "
عيار 18 ,4350  ج.م,4328.5  ج.م,هبوط,"
                    -8.5
                "
عيار 14 ,3383.25  ج.م,3366.75  ج.م,هبوط,"
                    -6.75
                "
عيار 12 ,2900  ج.م,2885.75  ج.م,هبوط,"
                    -5.75
                "
عيار 9 ,2175  ج.م,2164.25  ج.م,هبوط,"
                    -4.25
                "
جنيه ذهب,40600  ج.م,40400  ج.م,هبوط,"
                    -80
                "
عيار 999 ,74  ج.م,71  ج.م,صعود,"
                    1
                "
عيار 925 ,68.5  ج.م,65.75  ج.م,صعود,"
                    0.75
                "
عيار 900 ,66.75  ج.م,63.75  ج.م,صعود,"
                    0.75
                "
عيار 800 ,59.25  ج.م,56.75  ج.م,صعود,"
                    0.75
                "
عيار 600 ,44.5  ج.م,42.5  ج.م,صعود,"
                    0.5
                "
